readme_order,readme_display_name,source_project,source_artifact,candidate,variant,validation_macro_f1,test_macro_f1,test_wake_f1,test_non_rem_f1,test_rem_f1
1,Majority-class baseline,feature-engineered-wearable-sleep-staging,outputs/runs/final_test_evaluation/final_comparison_table.csv,majority_class_baseline,raw,0.2759830434147054,0.2657386075845955,0.0,0.7972158227537866,0.0
2,Stratified-random baseline,feature-engineered-wearable-sleep-staging,outputs/runs/final_test_evaluation/final_comparison_table.csv,stratified_class_baseline,raw,0.3262134284918148,0.3369916579209529,0.2484066023860107,0.6489140698772426,0.1136543014996053
3,"Statistical-summary elastic-net logistic, post-processed",feature-engineered-wearable-sleep-staging,outputs/runs/final_test_evaluation/final_comparison_table.csv,statistical_summary_only,platt_smoothed_threshold_tuned,0.4381292564997067,0.4452884751918389,0.5420143027413588,0.6889771732543263,0.1048739495798319
4,"Engineered-feature elastic-net logistic, post-processed",feature-engineered-wearable-sleep-staging,outputs/runs/final_test_evaluation/final_comparison_table.csv,best_original_ablation,platt_smoothed_threshold_tuned,0.5198552209267913,0.4968100246793809,0.5485455232338496,0.7750738334317779,0.1668107173725151
5,"Interpretable rolling logistic, raw",feature-engineered-wearable-sleep-staging,outputs/runs/final_test_evaluation/final_comparison_table.csv,interpretable_rolling_logistic,raw,0.4100435627339251,0.4679408944151103,0.5561625128030044,0.5888409417821182,0.2588192286602083
6,"Interpretable rolling logistic, threshold-tuned",feature-engineered-wearable-sleep-staging,outputs/runs/final_test_evaluation/final_comparison_table.csv,interpretable_rolling_logistic,raw_threshold_tuned,0.4808096120556044,0.492091432777639,0.5528830313014828,0.7274358974358974,0.1959553695955369
7,Previous project: transition-regularized 61-epoch MSResCNN-MLP-TCN,dreamt-wearable-sleep-staging,results/summary/key_results.csv,stage19_best_equal_weight_seed_ensemble_lambda_0.05,external_comparison,0.509597,0.501087,0.563574,0.793255,0.146431
