candidate,ablation,feature_set,base_model,model,variant,transition_distance_bin,n_epochs,REM_support,accuracy,balanced_accuracy,macro_f1,cohen_kappa,Wake_precision,Wake_recall,Wake_f1,Non_REM_precision,Non_REM_recall,Non_REM_f1,REM_precision,REM_recall,REM_f1
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_smoothed_threshold_tuned,platt_smoothed_threshold_tuned,0,1684,223,0.4501187648456057,0.3752537178632408,0.3760933320302366,0.0595832549343136,0.4438502673796791,0.5045592705167173,0.4722617354196302,0.4841849148418491,0.4956413449564134,0.4898461538461538,0.2456140350877192,0.1255605381165919,0.1661721068249258
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_smoothed_threshold_tuned,platt_smoothed_threshold_tuned,1,980,169,0.4959183673469388,0.4380196353978564,0.42761082881324,0.1510047752912436,0.4218362282878412,0.604982206405694,0.4970760233918128,0.579476861167002,0.5433962264150943,0.560856864654333,0.35,0.165680473372781,0.2248995983935743
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_smoothed_threshold_tuned,platt_smoothed_threshold_tuned,2-3,1310,250,0.5358778625954198,0.473188326548051,0.4443449445674787,0.187929877793887,0.3969298245614035,0.6534296028880866,0.4938608458390177,0.6522911051212938,0.6181353767560664,0.6347540983606558,0.3303571428571428,0.148,0.2044198895027624
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_smoothed_threshold_tuned,platt_smoothed_threshold_tuned,4-10,2740,382,0.6554744525547446,0.5542663957256463,0.5250393696173781,0.3135766167662286,0.5244444444444445,0.75,0.6172624237140366,0.7834285714285715,0.7269353128313892,0.7541254125412541,0.2253968253968254,0.1858638743455497,0.2037302725968436
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_smoothed_threshold_tuned,platt_smoothed_threshold_tuned,>10,5555,294,0.7339333933393339,0.5186955910509389,0.5203600143722857,0.3699091358183105,0.6775210084033614,0.5702917771883289,0.6192990878540566,0.8428001993024414,0.8191283292978209,0.8307956777996071,0.0831918505942275,0.1666666666666666,0.1109852774631936
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_threshold_tuned,platt_threshold_tuned,0,1684,223,0.4519002375296912,0.3795550715783413,0.3815357491657327,0.0636943404159706,0.4502046384720327,0.5015197568389058,0.4744787922358016,0.4819277108433735,0.49813200498132,0.4898958971218616,0.256198347107438,0.1390134529147982,0.1802325581395348
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_threshold_tuned,platt_threshold_tuned,1,980,169,0.5091836734693878,0.4480965005997416,0.4388892403019597,0.1700486477064446,0.4373401534526854,0.608540925266904,0.5089285714285714,0.5897435897435898,0.5641509433962264,0.5766634522661523,0.3536585365853658,0.1715976331360946,0.2310756972111553
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_threshold_tuned,platt_threshold_tuned,2-3,1310,250,0.5519083969465649,0.4899069916839949,0.4638986675638464,0.2150227437913942,0.4172335600907029,0.6642599277978339,0.5125348189415042,0.6657718120805369,0.6334610472541508,0.6492146596858639,0.3467741935483871,0.172,0.2299465240641711
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_threshold_tuned,platt_threshold_tuned,4-10,2740,382,0.6591240875912409,0.5581213830576731,0.529570904977755,0.3203704559420978,0.5275707898658718,0.75,0.6194225721784777,0.7865296803652968,0.7306468716861082,0.7575590984057174,0.2334384858044164,0.193717277486911,0.2117310443490701
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_platt_threshold_tuned,platt_threshold_tuned,>10,5555,294,0.7269126912691269,0.5117296246376984,0.5141051210112196,0.3572735956468469,0.672650475184794,0.5632183908045977,0.6130895091434071,0.8397596394591887,0.8121065375302663,0.8257016248153619,0.0765472312703583,0.1598639455782313,0.1035242290748898
interpretable_rolling_logistic,rolling_context_corr_pruned,rolling_context_corr_pruned,elastic_net_logistic_regression,logistic_raw,raw,0,1684,223,0.417458432304038,0.4238450180997229,0.3969958586880093,0.0918009949482927,0.4541607898448519,0.4893617021276595,0.4711046086320409,0.4982578397212543,0.3561643835616438,0.4153957879448075,0.2369077306733167,0.4260089686098655,0.3044871794871794
